condition,trial,host_write_us,host_recv_us,dev_rise_us,n_events,overflow
load,156,5440927.945,5445691.711,6539328,1,false
load,157,5461863.726,5466202.042,6560276,1,false
load,158,5482352.151,5486789.139,6580704,1,false
load,159,5502961.593,5507781.377,6601296,1,false
load,160,5523934.884,5527774.316,6622252,1,false
load,161,5544922.433,5548776.590,6643212,1,false
load,162,5566118.243,5568776.722,6664396,1,false
load,163,5586928.570,5589777.469,6685184,1,false
load,164,5607927.652,5609778.556,6706160,1,false
load,165,5628078.268,5630943.611,6726292,1,false
load,166,5649102.887,5650782.379,6747296,1,false
load,167,5669955.508,5671775.809,6768124,1,false
load,168,5690938.204,5695783.341,6789092,1,false
load,169,5711943.066,5716776.548,6810076,1,false
load,170,5732737.623,5736771.108,6830856,1,false
load,171,5752941.041,5757023.360,6851036,1,false
load,172,5773191.445,5777802.648,6871264,1,false
load,173,5793954.237,5798784.605,6892008,1,false
load,174,5814944.384,5818779.252,6912980,1,false
load,175,5835949.826,5839775.321,6933956,1,false
load,176,5856949.777,5861769.267,6954936,1,false
load,177,5877932.228,5880792.986,6975896,1,false
load,178,5898941.732,5900778.148,6996888,1,false
load,179,5919944.169,5925779.011,7017880,1,false
load,180,5940947.401,5945782.761,7038856,1,false
load,181,5961962.405,5966818.873,7059848,1,false
load,182,5982959.824,5986777.413,7080828,1,false
load,183,6003937.707,6007774.698,7101784,1,false
load,184,6024929.126,6027774.475,7122748,1,false
load,185,6045867.309,6048774.560,7143704,1,false
load,186,6066929.073,6068773.582,7164712,1,false
load,187,6087932.177,6093182.230,7185700,1,false
load,188,6108285.343,6113770.137,7206028,1,false
load,189,6128917.231,6135772.650,7226644,1,false
load,190,6149928.648,6155520.379,7247636,1,false
load,191,6170652.059,6174778.954,7268332,1,false
load,192,6190917.810,6195777.870,7288580,1,false
load,193,6211934.373,6215783.189,7309576,1,false
load,194,6232940.548,6236784.144,7330556,1,false
load,195,6253944.907,6256775.355,7351544,1,false
load,196,6274930.654,6277778.005,7372512,1,false
load,197,6295975.657,6300776.777,7393540,1,false
load,198,6316949.535,6319772.106,7414492,1,false
load,199,6337941.622,6343767.880,7435456,1,false
load,200,6358921.433,6364217.805,7456416,1,false
load,201,6379380.657,6384777.912,7476856,1,false
load,202,6399941.821,6405779.790,7497400,1,false
load,203,6420949.168,6425773.473,7518384,1,false
load,204,6441946.359,6445927.578,7539364,1,false
load,205,6462081.059,6466772.003,7559480,1,false
load,206,6483005.373,6487770.173,7580380,1,false
load,207,6503928.980,6507686.179,7601288,1,false
load,208,6524799.068,6528770.626,7622136,1,false
load,209,6544922.717,6548775.061,7642240,1,false
load,210,6565928.309,6568899.022,7663228,1,false
load,211,6586056.356,6589453.960,7683336,1,false
load,212,6606556.046,6610006.955,7703816,1,false
load,213,6627171.556,6630770.532,7724408,1,false
load,214,6647929.339,6651771.300,7745144,1,false
load,215,6668925.055,6670930.240,7766124,1,false
load,216,6689062.032,6692033.697,7786240,1,false
load,217,6709196.327,6712613.756,7806352,1,false
load,218,6729786.655,6733768.980,7826912,1,false
load,219,6749921.465,6753773.219,7847036,1,false
load,220,6770924.143,6773770.193,7868020,1,false
load,221,6791916.184,6794770.391,7888992,1,false
load,222,6812929.082,6819672.259,7909980,1,false
load,223,6833803.171,6839791.923,7930856,1,false
load,224,6853943.117,6859768.118,7950952,1,false
load,225,6874929.043,6879598.814,7971924,1,false
load,226,6895714.245,6899792.961,7992692,1,false
load,227,6915925.373,6920776.964,8012880,1,false
load,228,6936926.965,6940777.190,8033856,1,false
load,229,6957933.116,6961775.852,8054852,1,false
load,230,6978929.199,6981774.721,8075816,1,false
load,231,6999925.572,7002776.897,8096796,1,false
load,232,7020927.122,7022776.774,8117780,1,false
load,233,7041930.991,7043778.926,8138772,1,false
load,234,7062930.632,7067775.039,8159736,1,false
load,235,7083930.978,7088777.386,8180716,1,false
load,236,7104936.079,7108777.586,8201700,1,false
load,237,7125930.119,7129777.834,8222676,1,false
load,238,7146934.251,7151766.360,8243668,1,false
load,239,7167930.198,7172767.679,8264636,1,false
load,240,7188930.168,7190589.001,8285620,1,false
load,241,7209747.008,7211297.566,8306416,1,false
load,242,7230485.320,7235801.267,8327132,1,false
load,243,7250947.401,7256795.792,8347572,1,false
load,244,7271960.264,7276787.357,8368560,1,false
load,245,7292948.987,7297787.102,8389532,1,false
load,246,7313949.429,7317784.935,8410516,1,false
load,247,7334942.260,7338779.214,8431484,1,false
load,248,7355930.472,7359769.297,8452452,1,false
load,249,7376926.882,7379780.414,8473432,1,false
load,250,7397944.179,7399783.662,8494428,1,false
load,251,7418938.147,7424773.554,8515400,1,false
load,252,7445119.028,7448782.045,8541556,1,false
load,253,7465942.849,7469772.581,8562360,1,false
load,254,7486922.792,7489773.206,8583316,1,false
load,255,7507921.017,7510772.538,8604292,1,false
load,256,7528927.709,7530793.346,8625280,1,false
load,257,7549960.393,7555775.115,8646296,1,false
load,258,7570933.447,7575778.185,8667248,1,false
load,259,7591925.304,7596775.896,8688216,1,false
load,260,7612919.997,7616775.542,8709192,1,false
load,261,7633925.888,7637777.922,8730176,1,false
load,262,7654921.702,7657775.528,8751156,1,false
load,263,7675921.466,7678777.809,8772132,1,false
load,264,7696942.666,7698777.637,8793132,1,false
load,265,7717939.828,7723772.278,8814112,1,false
load,266,7738921.428,7743777.620,8835068,1,false
load,267,7759937.385,7763993.477,8856060,1,false
load,268,7780155.334,7784424.676,8876264,1,false
load,269,7800572.907,7804987.699,8896656,1,false
load,270,7821151.009,7825410.767,8917220,1,false
load,271,7841588.584,7847777.236,8937632,1,false
load,272,7863806.094,7866779.717,8959844,1,false
load,273,7883925.824,7889769.544,8979932,1,false
load,274,7904927.145,7907776.389,9000916,1,false
load,275,7925927.583,7928776.747,9021892,1,false
load,276,7946912.139,7948777.418,9042860,1,false
load,277,7967951.992,7973767.873,9063872,1,false
load,278,7988919.632,7993777.725,9084828,1,false
load,279,8009927.062,8014779.544,9105808,1,false
load,280,8030935.547,8034774.419,9126796,1,false
load,281,8050999.521,8054786.893,9146844,1,false
load,282,8071943.623,8075774.955,9167764,1,false
load,283,8092926.434,8095725.981,9188724,1,false
load,284,8113964.088,8116549.343,9209744,1,false
load,285,8134030.960,8136778.252,9229796,1,false
load,286,8154950.734,8157270.227,9250688,1,false
load,287,8175436.596,8177773.911,9271156,1,false
load,288,8195932.827,8198782.885,9291632,1,false
load,289,8217700.203,8222770.802,9313380,1,false
load,290,8237939.994,8239777.140,9333604,1,false
load,291,8258948.173,8263774.431,9354592,1,false
load,292,8279938.759,8284786.531,9375556,1,false
load,293,8300948.165,8304650.900,9396548,1,false
load,294,8321807.281,8329191.780,9417392,1,false
load,295,8342356.444,8345787.407,9437912,1,false
load,296,8362931.422,8366786.150,9458472,1,false
load,297,8383945.763,8386776.375,9479464,1,false
load,298,8404924.350,8407778.431,9500424,1,false
load,299,8425943.145,8427782.295,9521420,1,false
load,300,8446933.584,8448784.507,9542392,1,false
load,301,8467940.518,8472775.497,9563376,1,false
load,302,8488926.415,8493113.991,9584340,1,false
load,303,8509268.969,8513780.917,9604664,1,false
load,304,8529937.815,8534777.603,9625320,1,false
load,305,8550925.812,8554775.983,9646276,1,false
load,306,8571926.765,8575780.549,9667264,1,false
load,307,8592928.533,8595777.365,9688244,1,false
load,308,8613942.930,8616434.129,9709236,1,false
load,309,8634583.058,8636792.728,9729856,1,false
load,310,8654954.488,8656850.728,9750204,1,false
load,311,8674962.331,8677341.333,9770192,1,false
load,312,8695466.030,8697793.470,9790680,1,false
load,313,8715962.728,8718308.050,9811156,1,false
load,314,8736462.494,8738782.609,9831636,1,false
load,315,8756938.387,8759202.122,9852088,1,false
load,316,8777383.502,8779725.303,9872512,1,false
load,317,8797852.414,8800202.855,9893008,1,false
load,318,8818371.753,8820795.526,9913464,1,false
load,319,8838953.288,8841206.161,9934024,1,false
load,320,8859380.040,8861616.544,9954432,1,false
load,321,8879749.300,8882782.130,9974776,1,false
load,322,8899932.704,8902588.148,9994944,1,false
load,323,8920733.182,8923094.921,10015724,1,false
load,324,8941243.137,8943570.573,10036212,1,false
load,325,8961735.896,8964038.872,10056688,1,false
load,326,8982158.749,8984790.001,10077088,1,false
load,327,9002942.813,9005599.963,10097852,1,false
load,328,9023731.950,9025776.177,10118628,1,false
load,329,9043925.261,9046775.168,10138792,1,false
load,330,9064942.428,9066775.524,10159792,1,false
load,331,9085934.406,9092763.698,10180760,1,false
load,332,9106879.057,9111779.720,10201708,1,false
load,333,9127941.844,9132780.284,10222728,1,false
load,334,9148946.463,9152779.631,10243716,1,false
load,335,9170000.761,9173778.532,10264752,1,false
load,336,9190934.541,9193774.933,10285656,1,false
load,337,9211937.234,9214250.336,10306644,1,false
load,338,9232366.364,9234781.107,10327056,1,false
load,339,9252930.639,9255774.983,10347596,1,false
load,340,9273926.397,9275784.636,10368572,1,false
load,341,9294939.407,9300769.442,10389560,1,false
load,342,9315920.517,9320775.319,10410524,1,false
load,343,9336929.914,9341780.361,10431512,1,false
load,344,9357928.735,9361773.897,10452496,1,false
load,345,9378944.242,9381803.924,10473496,1,false
load,346,9399961.101,9402306.025,10494484,1,false
load,347,9420460.685,9422793.807,10514960,1,false
load,348,9440951.097,9443209.464,10535436,1,false
load,349,9461371.858,9464938.173,10555832,1,false
load,350,9482089.626,9484791.747,10576532,1,false
load,351,9502947.635,9504780.195,10597364,1,false
load,352,9523933.811,9525787.517,10618332,1,false
load,353,9544947.141,9549727.005,10639332,1,false
load,354,9565868.055,9571772.396,10660256,1,false
load,355,9586917.918,9590774.459,10681252,1,false
load,356,9607946.221,9611947.292,10702268,1,false
load,357,9628082.025,9631860.246,10722380,1,false
load,358,9649020.767,9653775.177,10743300,1,false
load,359,9669956.999,9672871.813,10764216,1,false
load,360,9689975.421,9693782.595,10784212,1,false
load,361,9710923.389,9714773.280,10805140,1,false
load,362,9731924.595,9735772.928,10826128,1,false
load,363,9752948.097,9755772.979,10847128,1,false
load,364,9773930.150,9776064.452,10868088,1,false
load,365,9794217.775,9795767.748,10888352,1,false
load,366,9814916.701,9817771.735,10909036,1,false
load,367,9835935.173,9841773.155,10930036,1,false
load,368,9856922.959,9861771.721,10950996,1,false
load,369,9877868.575,9882774.549,10971944,1,false
load,370,9898934.680,9903172.463,10992964,1,false
load,371,9919282.979,9922772.799,11013300,1,false
load,372,9939926.243,9944770.072,11033920,1,false
load,373,9960921.901,9964766.324,11054892,1,false
load,374,9981915.610,9985127.039,11075864,1,false
load,375,10002280.066,10004798.632,11096208,1,false
load,376,10022938.923,10025601.643,11116856,1,false
load,377,10043726.612,10046244.098,11137624,1,false
load,378,10064398.373,10066771.872,11158272,1,false
load,379,10084919.226,10086930.181,11178776,1,false
load,380,10105059.461,10107769.479,11198896,1,false
load,381,10125924.728,10127864.738,11219736,1,false
load,382,10145964.693,10147801.572,11239760,1,false
load,383,10166940.308,10168817.677,11260708,1,false
load,384,10187938.754,10193829.229,11281688,1,false
load,385,10208943.657,10214332.813,11302676,1,false
load,386,10229479.579,10233869.068,11323196,1,false
load,387,10250034.651,10254846.454,11343720,1,false
load,388,10271016.528,10275574.346,11364688,1,false
load,389,10291754.471,10296303.597,11385400,1,false
load,390,10312493.633,10316788.344,11406124,1,false
load,391,10332961.011,10337656.174,11426572,1,false
load,392,10353792.357,10357769.225,11447388,1,false
load,393,10373933.679,10378774.382,11467508,1,false
load,394,10394931.447,10398780.688,11488488,1,false
load,395,10415927.746,10419089.421,11509456,1,false
load,396,10436208.912,10439260.741,11529716,1,false
load,397,10456416.112,10460087.873,11549900,1,false
load,398,10477230.661,10480771.002,11570704,1,false
load,399,10497921.094,10501771.035,11591372,1,false
load,400,10518926.789,10522767.028,11612356,1,false
load,401,10539922.410,10544984.482,11633340,1,false
load,402,10560131.458,10561425.386,11653528,1,false
load,403,10580567.285,10581867.309,11673936,1,false
load,404,10600994.672,10602376.244,11694344,1,false
load,405,10621491.171,10622824.467,11714824,1,false
load,406,10641986.035,10645765.584,11735288,1,false
load,407,10662936.048,10670764.335,11756228,1,false
load,408,10683879.538,10688386.824,11777152,1,false
load,409,10704525.217,10708872.516,11797772,1,false
load,410,10725026.026,10729358.238,11818256,1,false
load,411,10745531.011,10751767.967,11838736,1,false
load,412,10765927.853,10771202.546,11859116,1,false
load,413,10786355.568,10791802.002,11879524,1,false
load,414,10806925.395,10812776.212,11900076,1,false
load,415,10827922.690,10832250.507,11921048,1,false
load,416,10848420.829,10853607.623,11941528,1,false
load,417,10868765.790,10872867.303,11961852,1,false
load,418,10889012.097,10894772.536,11982080,1,false
load,419,10909917.557,10914771.104,12002964,1,false
load,420,10930920.635,10934812.169,12023948,1,false
load,421,10951946.743,10955774.194,12044952,1,false
load,422,10972920.299,10976772.741,12065904,1,false
load,423,10993921.100,10996087.461,12086884,1,false
load,424,11014205.261,11017769.374,12107152,1,false
load,425,11034919.224,11036788.368,12127844,1,false
load,426,11055924.504,11058769.449,12148824,1,false
load,427,11076944.858,11081570.960,12169824,1,false
load,428,11097727.876,11102094.448,12190588,1,false
load,429,11118242.212,11122511.314,12211088,1,false
load,430,11138688.124,11143050.323,12231508,1,false
load,431,11159218.127,11163764.900,12252016,1,false
load,432,11179924.519,11183982.092,12272704,1,false
load,433,11200129.340,11204469.938,12292896,1,false
load,434,11220634.771,11224977.754,12313380,1,false
load,435,11241144.910,11245767.765,12333872,1,false
load,436,11261922.525,11265960.267,12354624,1,false
load,437,11282067.898,11286390.099,12374748,1,false
load,438,11302495.884,11306876.989,12395160,1,false
load,439,11323008.374,11327334.687,12415652,1,false
load,440,11343495.790,11347837.344,12436120,1,false
load,441,11363991.454,11369765.202,12456596,1,false
load,442,11384936.174,11390778.374,12477520,1,false
load,443,11405933.044,11409257.529,12498492,1,false
load,444,11426371.164,11429723.982,12518912,1,false
load,445,11446851.816,11450190.412,12539404,1,false
load,446,11467341.919,11470694.642,12559840,1,false
load,447,11487846.177,11491173.368,12580368,1,false
load,448,11508328.425,11511653.119,12600792,1,false
load,449,11528801.919,11534769.398,12621244,1,false
load,450,11548874.473,11552616.506,12641312,1,false
load,451,11569740.194,11573074.184,12662140,1,false
load,452,11590231.047,11593546.846,12682608,1,false
load,453,11610657.671,11614299.768,12703020,1,false
load,454,11631451.254,11634794.909,12723796,1,false
load,455,11651966.115,11655779.115,12744284,1,false
load,456,11671989.514,11676787.512,12764292,1,false
load,457,11692929.660,11697048.975,12785216,1,false
load,458,11713184.025,11717000.441,12805448,1,false
load,459,11734139.203,11738276.542,12826380,1,false
load,460,11754428.568,11758025.847,12846652,1,false
load,461,11775150.959,11779772.726,12867348,1,false
load,462,11795932.130,11799207.711,12888112,1,false
load,463,11816353.308,11820128.150,12908516,1,false
load,464,11837281.788,11840037.219,12929424,1,false
load,465,11858145.098,11859772.970,12950264,1,false
load,466,11878926.735,11880244.666,12971032,1,false
load,467,11899358.627,11900768.404,12991440,1,false
load,468,11919920.943,11921179.738,13011984,1,false
load,469,11940330.650,11942771.158,13032372,1,false
load,470,11960924.992,11963229.765,13052948,1,false
load,471,11981354.305,11983087.862,13073348,1,false
load,472,12002222.559,12007897.884,13094200,1,false
load,473,12023017.790,12027961.294,13114972,1,false
load,474,12043058.550,12045773.607,13134996,1,false
load,475,12063924.240,12068798.556,13155844,1,false
load,476,12084967.329,12089782.005,13176860,1,false
load,477,12105934.668,12110779.003,13197812,1,false
load,478,12126940.200,12130780.186,13218792,1,false
load,479,12147928.104,12150777.925,13239764,1,false
load,480,12168925.522,12171776.720,13260744,1,false
load,481,12189929.332,12191776.824,13281724,1,false
load,482,12210923.108,12212779.448,13302696,1,false
load,483,12231933.134,12236778.602,13323684,1,false
load,484,12252963.295,12257779.758,13344696,1,false
load,485,12273923.887,12277775.568,13365636,1,false
load,486,12294922.986,12298774.895,13386612,1,false
load,487,12315927.221,12318778.269,13407600,1,false
load,488,12336936.414,12341773.285,13428588,1,false
load,489,12357930.333,12359780.246,13449564,1,false
load,490,12378946.037,12385771.549,13470552,1,false
load,491,12399028.567,12401773.007,13490616,1,false
load,492,12419939.650,12425782.502,13511508,1,false
load,493,12440936.521,12445788.618,13532488,1,false
load,494,12460948.910,12466773.133,13552476,1,false
load,495,12481924.894,12486778.535,13573432,1,false
load,496,12502933.159,12507781.078,13594416,1,false
load,497,12523931.931,12527775.096,13615396,1,false
load,498,12544924.996,12548778.227,13636364,1,false
load,499,12565929.554,12568781.712,13657356,1,false
load,500,12586932.976,12589776.337,13678340,1,false
load,501,12607925.497,12609777.159,13699316,1,false
load,502,12628928.531,12634781.474,13720288,1,false
load,503,12649934.412,12654776.950,13741276,1,false
load,504,12670931.446,12675785.481,13762256,1,false
load,505,12691940.700,12695780.217,13783244,1,false
load,506,12712933.213,12716777.146,13804212,1,false
load,507,12733925.859,12736779.716,13825188,1,false
load,508,12754926.496,12756781.067,13846164,1,false
load,509,12775936.842,12777778.259,13867156,1,false
load,510,12796930.823,12802773.004,13888128,1,false
load,511,12817923.725,12822784.966,13909100,1,false
load,512,12838941.664,12842776.558,13930100,1,false
load,513,12859968.696,12863781.688,13951108,1,false
load,514,12880936.036,12884773.157,13972056,1,false
load,515,12901923.565,12904777.213,13993024,1,false
load,516,12922939.112,12924781.216,14014012,1,false
load,517,12943929.508,12945778.924,14034988,1,false
load,518,12964933.493,12969771.411,14055964,1,false
load,519,12985944.361,12990244.320,14076952,1,false
load,520,13006367.984,13010733.416,14097360,1,false
load,521,13026870.918,13031203.224,14117852,1,false
load,522,13047371.830,13051786.454,14138332,1,false
load,523,13067943.733,13072778.200,14158872,1,false
load,524,13088933.295,13092778.683,14179844,1,false
load,525,13109937.476,13115767.729,14200840,1,false
load,526,13130932.932,13133784.856,14221804,1,false
load,527,13151938.978,13154778.052,14242796,1,false
load,528,13172934.185,13175765.569,14263768,1,false
load,529,13193866.591,13195775.900,14284696,1,false
load,530,13214925.576,13219781.534,14305720,1,false
load,531,13235940.034,13240776.281,14326712,1,false
load,532,13256933.102,13262770.973,14347688,1,false
load,533,13277956.631,13284783.773,14368688,1,false
load,534,13298960.421,13301783.044,14389672,1,false
load,535,13319942.388,13322129.076,14410624,1,false
load,536,13340293.792,13342469.060,14430964,1,false
load,537,13360631.364,13362954.850,14451280,1,false
load,538,13381088.695,13383425.733,14471716,1,false
load,539,13401858.548,13403958.694,14492488,1,false
load,540,13422065.867,13424380.133,14512656,1,false
load,541,13442504.743,13444858.587,14533076,1,false
load,542,13463005.119,13465341.351,14553556,1,false
load,543,13483508.073,13486793.387,14574032,1,false
load,544,13503954.114,13506295.398,14594460,1,false
load,545,13524446.181,13526799.411,14614936,1,false
load,546,13544944.077,13547281.991,14635416,1,false
load,547,13565446.610,13567761.415,14655896,1,false
load,548,13585932.681,13590785.927,14676360,1,false
load,549,13606942.874,13608692.061,14697352,1,false
load,550,13627859.538,13629205.521,14718268,1,false
load,551,13648355.426,13649678.948,14738724,1,false
load,552,13668793.799,13671773.032,14759152,1,false
load,553,13688925.860,13691428.866,14779256,1,false
load,554,13709573.119,13711852.829,14799884,1,false
load,555,13730001.149,13731969.018,14820296,1,false
load,556,13750075.216,13752792.362,14840348,1,false
load,557,13770953.008,13772777.337,14861196,1,false
load,558,13791923.763,13793778.839,14882156,1,false
load,559,13812958.036,13817777.341,14903140,1,false
load,560,13833927.842,13838778.592,14924112,1,false
load,561,13854928.652,13858782.401,14945096,1,false
load,562,13875939.228,13879778.557,14966084,1,false
load,563,13896929.854,13899777.749,14987048,1,false
load,564,13917927.167,13920785.133,15008032,1,false
load,565,13938952.813,13940777.166,15029032,1,false
load,566,13959932.483,13961779.613,15049992,1,false
load,567,13980952.471,13985556.049,15070996,1,false
load,568,14001669.663,14005982.947,15091696,1,false
load,569,14021744.927,14026445.724,15111748,1,false
load,570,14042600.382,14047764.102,15132584,1,false
load,571,14062871.526,14067436.084,15152840,1,false
load,572,14083583.519,14087940.211,15173528,1,false
load,573,14104160.596,14108769.614,15194080,1,false
load,574,14124928.008,14128948.095,15214824,1,false
load,575,14145067.432,14149359.432,15234948,1,false
load,576,14165495.685,14169858.469,15255364,1,false
load,577,14185995.190,14190445.701,15275840,1,false
load,578,14206580.467,14210812.362,15296404,1,false
load,579,14226938.748,14231792.252,15316740,1,false
